sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup,L1d,L1i,L2,cacheline,L1d_assoc,L1i_assoc,L2_assoc
0.084007,1.680134,0.014799,8.4e-05,0.282187,specbzip,L1i_16kB,1.67965,0.999711927739097,64,16,2,64,2,2,8
0.083994,1.679876,0.0148,7.2e-05,0.282148,specbzip,L1i_64kB,1.67965,0.999865466260605,64,64,2,64,2,2,8
0.083998,1.679958,0.014798,9e-05,0.28212,specbzip,L1i_assoc_1,1.67965,0.9998166620832188,64,32,2,64,2,1,8
0.083992,1.679834,0.014799,7e-05,0.282188,specbzip,L1i_assoc_4,1.67965,0.9998904653674112,64,32,2,64,2,4,8
0.083998,1.679962,0.014799,7e-05,0.282188,specbzip,L1i_assoc_8,1.67965,0.9998142815135104,64,32,2,64,2,8,8
0.085526,1.71052,0.014796,7.7e-05,0.318634,specbzip,L2_1MB,1.67965,0.981952856441316,64,32,1,64,2,2,8
0.082692,1.653848,0.014796,7.7e-05,0.251734,specbzip,L2_4MB,1.67965,1.0156011918870418,64,32,4,64,2,2,8
0.084064,1.681276,0.014799,7.7e-05,0.283168,specbzip,L2_assoc_16,1.67965,0.9990328774097768,64,32,2,64,2,2,16
0.084406,1.688129,0.014791,7.7e-05,0.292739,specbzip,L2_assoc_2,1.67965,0.9949772795799374,64,32,2,64,2,2,2
0.084043,1.680863,0.0148,7.7e-05,0.28331,specbzip,L2_assoc_32,1.67965,0.9992783468968024,64,32,2,64,2,2,32
0.083942,1.678833,0.014793,7.7e-05,0.282144,specbzip,L2_assoc_4,1.67965,1.000486647570068,64,32,2,64,2,2,4
0.084077,1.681547,0.0148,7.7e-05,0.28369,specbzip,L2_assoc_64,1.67965,0.998871872151061,64,32,2,64,2,2,64
0.080009,1.600188,0.010138,3.9e-05,0.145083,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,1.67965,1.0496579151949648,128,64,4,256,4,16,16
0.080005,1.600096,0.010138,4.1e-05,0.145076,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,1.67965,1.0497182669039855,128,64,4,256,4,4,16
0.080017,1.600344,0.010138,3.9e-05,0.145083,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,1.67965,1.0495555955469575,128,64,4,256,4,8,16
0.079593,1.591869,0.00935,3.9e-05,0.157904,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,1.67965,1.0551433566455533,128,64,4,256,8,8,16
0.059099,1.181978,0.000881,0.000345,0.072025,spechmmer,Cacheline_128,1.187917,1.00502462820797,64,32,2,128,2,2,8
0.061015,1.220304,0.006153,0.000206,0.077133,spechmmer,Cacheline_16,1.187917,0.9734598919613472,64,32,2,16,2,2,8
0.058993,1.179864,0.000544,0.000468,0.056276,spechmmer,Cacheline_256,1.187917,1.0068253629231845,64,32,2,256,2,2,8
0.059842,1.196843,0.003134,0.00019,0.078314,spechmmer,Cacheline_32,1.187917,0.9925420460327712,64,32,2,32,2,2,8
0.05903,1.180605,0.000388,0.000344,0.146222,spechmmer,cl_128_L1d_128kB,1.187917,1.006193434722028,128,32,2,128,2,2,8
0.05925,1.185003,0.00139,0.000347,0.048132,spechmmer,cl_128_L1d_32kB,1.187917,1.0024590655044754,32,32,2,128,2,2,8
0.060552,1.211043,0.003106,0.000345,0.022615,spechmmer,cl_128_L1d_assoc_1,1.187917,0.9809040636872512,64,32,2,128,1,2,8
0.059089,1.181775,0.000853,0.000344,0.074295,spechmmer,cl_128_L1d_assoc_4,1.187917,1.0051972668232108,64,32,2,128,4,2,8
0.059131,1.182626,0.00088,0.000659,0.064453,spechmmer,cl_128_L1i_16kB,1.187917,1.0044739418886444,64,16,2,128,2,2,8
0.05907,1.181398,0.000881,8.3e-05,0.079897,spechmmer,cl_128_L1i_64kB,1.187917,1.0055180387981018,64,64,2,128,2,2,8
0.063841,1.276817,0.000881,0.034722,0.005338,spechmmer,cl_128_L1i_assoc_1,1.187917,0.9303737340589918,64,32,2,128,2,1,8
