sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup
0.084077,1.681547,0.0148,7.7e-05,0.28369,specbzip,L2_assoc_64,1.67965,0.998871872151061
0.080009,1.600188,0.010138,3.9e-05,0.145083,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,1.67965,1.0496579151949648
0.080005,1.600096,0.010138,4.1e-05,0.145076,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,1.67965,1.0497182669039857
0.080017,1.600344,0.010138,3.9e-05,0.145083,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,1.67965,1.0495555955469575
0.079593,1.591869,0.00935,3.9e-05,0.157904,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,1.67965,1.0551433566455533
0.059099,1.181978,0.000881,0.000345,0.072025,spechmmer,Cacheline_128,1.187917,1.00502462820797
0.061015,1.220304,0.006153,0.000206,0.077133,spechmmer,Cacheline_16,1.187917,0.9734598919613472
0.058993,1.179864,0.000544,0.000468,0.056276,spechmmer,Cacheline_256,1.187917,1.0068253629231843
0.059842,1.196843,0.003134,0.00019,0.078314,spechmmer,Cacheline_32,1.187917,0.9925420460327711
0.05903,1.180605,0.000388,0.000344,0.146222,spechmmer,cl_128_L1d_128kB,1.187917,1.006193434722028
0.05925,1.185003,0.00139,0.000347,0.048132,spechmmer,cl_128_L1d_32kB,1.187917,1.0024590655044754
0.060552,1.211043,0.003106,0.000345,0.022615,spechmmer,cl_128_L1d_assoc_1,1.187917,0.9809040636872512
0.059089,1.181775,0.000853,0.000344,0.074295,spechmmer,cl_128_L1d_assoc_4,1.187917,1.0051972668232108
0.059131,1.182626,0.00088,0.000659,0.064453,spechmmer,cl_128_L1i_16kB,1.187917,1.0044739418886444
0.05907,1.181398,0.000881,8.3e-05,0.079897,spechmmer,cl_128_L1i_64kB,1.187917,1.0055180387981018
0.063841,1.276817,0.000881,0.034722,0.005338,spechmmer,cl_128_L1i_assoc_1,1.187917,0.9303737340589918
0.059078,1.181568,0.000881,0.000224,0.075487,spechmmer,cl_128_L1i_assoc_4,1.187917,1.00537336826996
0.059099,1.181978,0.000881,0.000345,0.072025,spechmmer,cl_128_L2_1MB,1.187917,1.00502462820797
0.059099,1.181978,0.000881,0.000345,0.072025,spechmmer,cl_128_L2_4MB,1.187917,1.00502462820797
0.059099,1.181978,0.000881,0.000345,0.072025,spechmmer,cl_128_L2_assoc_16,1.187917,1.00502462820797
0.059099,1.181978,0.000881,0.000345,0.072025,spechmmer,cl_128_L2_assoc_4,1.187917,1.00502462820797
0.058922,1.17844,0.000237,0.000468,0.101365,spechmmer,cl_256_L1d_128kB,1.187917,1.008041987712569
0.059156,1.18312,0.000991,0.00047,0.035649,spechmmer,cl_256_L1d_32kB,1.187917,1.004054533775103
0.061536,1.230717,0.004127,0.000468,0.009341,spechmmer,cl_256_L1d_assoc_1,1.187917,0.9652235241733069
0.058959,1.179175,0.000475,0.000468,0.062457,spechmmer,cl_256_L1d_assoc_4,1.187917,1.0074136578540078
0.059032,1.180635,0.000544,0.000773,0.048814,spechmmer,cl_256_L1i_16kB,1.187917,1.0061678672917538
0.058953,1.179064,0.000544,7.4e-05,0.070083,spechmmer,cl_256_L1i_64kB,1.187917,1.0075084982664215
0.064273,1.285454,0.000544,0.032382,0.003417,spechmmer,cl_256_L1i_assoc_1,1.187917,0.9241225279162069
0.058967,1.179334,0.000544,0.000241,0.06348,spechmmer,cl_256_L1i_assoc_4,1.187917,1.0072778364738062
0.058993,1.179864,0.000544,0.000468,0.056276,spechmmer,cl_256_L2_1MB,1.187917,1.0068253629231843
0.058993,1.179864,0.000544,0.000468,0.056276,spechmmer,cl_256_L2_4MB,1.187917,1.0068253629231843
0.058993,1.179864,0.000544,0.000468,0.056276,spechmmer,cl_256_L2_assoc_16,1.187917,1.0068253629231843
0.058993,1.179864,0.000544,0.000468,0.056276,spechmmer,cl_256_L2_assoc_4,1.187917,1.0068253629231843
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,default,1.187917,1.0
0.059317,1.186345,0.000701,0.000212,0.180008,spechmmer,L1d_128kB,1.187917,1.0013250782866703
0.059292,1.185839,0.000702,8.7e-05,0.193947,spechmmer,L1d_128kB_L1i_64kB,1.187917,1.001752345807483
0.059292,1.185839,0.000702,8.7e-05,0.193947,spechmmer,L1d_128kB_L1i_64kB_L2_1MB,1.187917,1.001752345807483
0.059292,1.185839,0.000702,8.7e-05,0.193947,spechmmer,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.187917,1.001752345807483
0.059278,1.185557,0.000669,8.7e-05,0.206886,spechmmer,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,1.187917,1.0019906255034552
0.059292,1.185839,0.000702,8.7e-05,0.193947,spechmmer,L1d_128kB_L1i_64kB_L2_4MB,1.187917,1.001752345807483
0.059292,1.185839,0.000702,8.7e-05,0.193947,spechmmer,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,1.187917,1.001752345807483
0.059278,1.185557,0.000669,8.7e-05,0.206886,spechmmer,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,1.187917,1.0019906255034552
0.059567,1.191346,0.002359,0.000221,0.054065,spechmmer,L1d_32kB,1.187917,0.9971217429697165
0.060575,1.211494,0.003394,0.000221,0.038446,spechmmer,L1d_assoc_1,1.187917,0.9805389048563178
0.059387,1.187732,0.001587,0.000215,0.080373,spechmmer,L1d_assoc_4,1.187917,1.0001557590432857
0.059384,1.187679,0.001629,0.000215,0.078285,spechmmer,L1d_assoc_8,1.187917,1.0002003908463482
0.059432,1.188644,0.001637,0.000578,0.07141,spechmmer,L1i_16kB,1.187917,0.9993883786903395
0.059384,1.187688,0.001638,8.7e-05,0.080478,spechmmer,L1i_64kB,1.187917,1.0001928115801455
0.065852,1.317035,0.001638,0.034157,0.008467,spechmmer,L1i_assoc_1,1.187917,0.9019631217089902
