sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup
0.064952,1.299037,0.002108,0.023612,0.055085,specmcf,L2_assoc_4,1.299095,1.00004464845882
0.064956,1.299113,0.002108,0.023612,0.055078,specmcf,L2_assoc_64,1.299095,0.9999861443923663
0.055382,1.10763,0.000748,9e-06,0.469336,specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,1.299095,1.1728600706011938
0.055382,1.10763,0.000748,9e-06,0.469183,specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,1.299095,1.1728600706011938
0.055382,1.10763,0.000748,9e-06,0.469314,specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,1.299095,1.1728600706011938
0.055373,1.10746,0.000722,9e-06,0.485436,specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,1.299095,1.1730401098008054
0.339974,6.799471,0.060922,1.5e-05,0.999825,specsjeng,Cacheline_128,10.270554,1.5104930957128873
1.674291,33.485823,0.487302,2.9e-05,0.999994,specsjeng,Cacheline_16,10.270554,0.3067135008149568
0.258786,5.175719,0.030472,1.1e-05,0.999168,specsjeng,Cacheline_256,10.270554,1.984372412799072
0.882685,17.653706,0.243654,2.3e-05,0.999988,specsjeng,Cacheline_32,10.270554,0.5817789193951685
0.339968,6.799362,0.060921,1.5e-05,0.999856,specsjeng,cl_128_L1d_128kB,10.270554,1.510517310300584
0.339974,6.799471,0.060926,1.5e-05,0.999686,specsjeng,cl_128_L1d_32kB,10.270554,1.5104930957128873
0.341924,6.83849,0.062028,1.5e-05,0.964868,specsjeng,cl_128_L1d_assoc_1,10.270554,1.5018745366301625
0.339977,6.799536,0.060918,1.5e-05,0.999949,specsjeng,cl_128_L1d_assoc_4,10.270554,1.5104786561906578
0.339968,6.799362,0.060922,1.7e-05,0.999797,specsjeng,cl_128_L1i_16kB,10.270554,1.510517310300584
0.339969,6.79938,0.060922,1.3e-05,0.999846,specsjeng,cl_128_L1i_64kB,10.270554,1.510513311507814
0.339974,6.799471,0.060922,1.6e-05,0.999807,specsjeng,cl_128_L1i_assoc_1,10.270554,1.5104930957128873
0.339991,6.79983,0.060922,1.3e-05,0.999842,specsjeng,cl_128_L1i_assoc_4,10.270554,1.5104133485690083
0.340068,6.801366,0.060922,1.5e-05,0.999825,specsjeng,cl_128_L2_1MB,10.270554,1.5100722413703367
0.339765,6.795293,0.060922,1.5e-05,0.999825,specsjeng,cl_128_L2_4MB,10.270554,1.5114218032982538
0.339983,6.799653,0.060922,1.5e-05,0.999825,specsjeng,cl_128_L2_assoc_16,10.270554,1.5104526657463255
0.339968,6.799362,0.060922,1.5e-05,0.999825,specsjeng,cl_128_L2_assoc_4,10.270554,1.510517310300584
0.258784,5.175684,0.030467,1.1e-05,0.999509,specsjeng,cl_256_L1d_128kB,10.270554,1.9843858319016385
0.258801,5.176027,0.03049,1.1e-05,0.99804,specsjeng,cl_256_L1d_32kB,10.270554,1.9842543325218358
0.262687,5.253734,0.03266,1.1e-05,0.874006,specsjeng,cl_256_L1d_assoc_1,10.270554,1.9549055966670565
0.258778,5.17556,0.030461,1.1e-05,0.999891,specsjeng,cl_256_L1d_assoc_4,10.270554,1.9844333753255687
0.25879,5.175806,0.030472,1.4e-05,0.99911,specsjeng,cl_256_L1i_16kB,10.270554,1.9843390575303637
0.258787,5.175745,0.030472,9e-06,0.999218,specsjeng,cl_256_L1i_64kB,10.270554,1.9843624444403658
0.258794,5.175871,0.030472,1.3e-05,0.999128,specsjeng,cl_256_L1i_assoc_1,10.270554,1.9843141376591498
0.25879,5.175806,0.030472,1e-05,0.999198,specsjeng,cl_256_L1i_assoc_4,10.270554,1.9843390575303637
0.258892,5.177835,0.030472,1.1e-05,0.999168,specsjeng,cl_256_L2_1MB,10.270554,1.9835614692241064
0.258578,5.17157,0.030472,1.1e-05,0.999168,specsjeng,cl_256_L2_4MB,10.270554,1.985964416995226
0.258789,5.175774,0.030472,1.1e-05,0.999168,specsjeng,cl_256_L2_assoc_16,10.270554,1.9843513260045746
0.258792,5.175839,0.030472,1.1e-05,0.999168,specsjeng,cl_256_L2_assoc_4,10.270554,1.98432640582522
0.513528,10.270554,0.121831,2e-05,0.999972,specsjeng,default,10.270554,1.0
0.513526,10.27052,0.121831,2e-05,0.999976,specsjeng,L1d_128kB,10.270554,1.0000033104458197
0.513526,10.27052,0.121831,1.9e-05,0.999983,specsjeng,L1d_128kB_L1i_64kB,10.270554,1.0000033104458197
0.51365,10.273004,0.121831,1.9e-05,0.999983,specsjeng,L1d_128kB_L1i_64kB_L2_1MB,10.270554,0.9997615108492122
0.513513,10.270259,0.121831,1.9e-05,0.999983,specsjeng,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,10.270554,1.000028723715731
0.513517,10.270342,0.121831,1.9e-05,0.999986,specsjeng,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,10.270554,1.0000206419610955
0.513271,10.265414,0.121831,1.9e-05,0.999983,specsjeng,L1d_128kB_L1i_64kB_L2_4MB,10.270554,1.0005007104438264
0.513229,10.264575,0.121831,1.9e-05,0.999983,specsjeng,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,10.270554,1.0005824888025077
0.513274,10.265472,0.121831,1.9e-05,0.999986,specsjeng,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,10.270554,1.0004950576067033
0.513526,10.27052,0.121833,2e-05,0.999948,specsjeng,L1d_32kB,10.270554,1.0000033104458197
0.514501,10.290026,0.122393,2e-05,0.990849,specsjeng,L1d_assoc_1,10.270554,0.9981076821380239
0.513526,10.27052,0.121831,2e-05,0.999978,specsjeng,L1d_assoc_4,10.270554,1.0000033104458197
0.513518,10.270355,0.121831,2e-05,0.999978,specsjeng,L1d_assoc_8,10.270554,1.0000193761559362
0.513545,10.270894,0.121831,2.3e-05,0.999959,specsjeng,L1i_16kB,10.270554,0.9999668967472549
0.513524,10.270481,0.121831,1.9e-05,0.999979,specsjeng,L1i_64kB,10.270554,1.000007107748897
0.513536,10.270716,0.121831,2.2e-05,0.999962,specsjeng,L1i_assoc_1,10.270554,0.9999842270003377
0.513533,10.270653,0.121831,2e-05,0.999976,specsjeng,L1i_assoc_4,10.270554,0.9999903608855252
0.513526,10.270525,0.121831,1.9e-05,0.999978,specsjeng,L1i_assoc_8,10.270554,1.0000028236141776
0.513664,10.273271,0.121831,2e-05,0.999972,specsjeng,L2_1MB,10.270554,0.9997355272726672
0.513271,10.265417,0.121831,2e-05,0.999972,specsjeng,L2_4MB,10.270554,1.0005004180541328
0.513545,10.27089,0.121831,2e-05,0.999972,specsjeng,L2_assoc_16,10.270554,0.9999672861845469
0.513507,10.27014,0.121831,2e-05,0.999972,specsjeng,L2_assoc_2,10.270554,1.0000403110376295
0.513283,10.265663,0.121831,2e-05,0.999972,specsjeng,L2_assoc_32,10.270554,1.0004764426808088
0.513526,10.270525,0.121831,2e-05,0.999972,specsjeng,L2_assoc_4,10.270554,1.0000028236141776
0.513214,10.264288,0.121831,2e-05,0.999972,specsjeng,L2_assoc_64,10.270554,1.0006104661131878
0.258572,5.171443,0.030461,9e-06,0.999963,specsjeng,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,10.270554,1.9860131881952485
0.258569,5.171385,0.030461,9e-06,0.999957,specsjeng,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,10.270554,1.9860354624534822
0.258569,5.171385,0.030461,9e-06,0.999964,specsjeng,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,10.270554,1.9860354624534822
0.258568,5.171358,0.030461,9e-06,0.999964,specsjeng,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,10.270554,1.9860458316751617
