Benchmark,Config,Cost,speedup,pcr
specmcf,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,1.6176470588235294,1.120344099003924,0.6925763521115166
specbzip,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,1.4705882352941178,1.0343048177242893,0.7033272760525167
specmcf,cl_256_L1d_assoc_4,1.411764705882353,1.0013697489744227,0.709303572190216
spechmmer,cl_256_L1i_assoc_4,1.411764705882353,1.0072778364738062,0.7134884675022793
spechmmer,cl_256_L1d_assoc_4,1.411764705882353,1.0074136578540078,0.7135846743132555
specbzip,cl_256_L1i_assoc_4,1.411764705882353,1.0105723076774977,0.7158220512715608
speclibm,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.3823529411764706,0.9964229442696942,0.720816597982332
specbzip,cl_256_L1d_assoc_4,1.411764705882353,1.0207517093557412,0.72303246079365
specbzip,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.3823529411764706,0.9998571335027888,0.7233009050871239
specsjeng,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.3823529411764706,1.000028723715731,0.7234250341773374
spechmmer,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.3823529411764706,1.001752345807483,0.7246719097330728
specbzip,L2_assoc_32,1.3529411764705883,0.9992783468968025,0.7385970390106801
speclibm,L2_assoc_32,1.3529411764705883,0.9998900909869172,0.7390491976859822
spechmmer,L2_assoc_32,1.3529411764705883,0.9999764298852218,0.7391130133934248
specmcf,L2_assoc_32,1.3529411764705883,0.9999861443923663,0.7391201936813142
specsjeng,L2_assoc_32,1.3529411764705883,1.0004764426808088,0.7394825880684238
specsjeng,L1d_128kB_L1i_64kB_L2_4MB,1.3529411764705883,1.0005007104438264,0.7395005251106542
speclibm,L1d_128kB_L1i_64kB_L2_4MB,1.3529411764705883,1.0011015680724078,0.7399446372709101
spechmmer,L1d_128kB_L1i_64kB_L2_4MB,1.3529411764705883,1.001752345807483,0.7404256469011831
specmcf,cl_128_L1d_assoc_4,1.2941176470588236,0.9767653611248748,0.7547732335964941
specmcf,cl_256_L1d_128kB,1.3235294117647058,1.0019914956502558,0.7570602411579711
spechmmer,cl_256_L1i_64kB,1.3235294117647058,1.0075084982664215,0.7612286431346296
spechmmer,cl_256_L1d_128kB,1.3235294117647058,1.008041987712569,0.7616317240494966
specbzip,cl_256_L1i_64kB,1.3235294117647058,1.010148089700597,0.7632230011071177
specbzip,L1d_128kB_L1i_64kB_L2_4MB,1.3529411764705883,1.034046933350407,0.7642955594329095
specmcf,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,1.4705882352941178,1.1250458992088017,0.7650312114619852
specsjeng,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,2.588235294117647,1.9860354624534822,0.7673318832206635
speclibm,L1d_128kB_L1i_64kB,1.2941176470588236,1.0,0.7727272727272727
specsjeng,L1d_128kB_L1i_64kB,1.2941176470588236,1.0000033104458197,0.7727298307990424
specmcf,cl_256_L2_assoc_16,1.2941176470588236,1.0004867293099613,0.7731033817395155
spechmmer,L1d_128kB_L1i_64kB,1.2941176470588236,1.001752345807483,0.7740813581239642
spechmmer,cl_128_L1d_assoc_4,1.2941176470588236,1.0051972668232108,0.7767433425452083
spechmmer,cl_128_L1i_assoc_4,1.2941176470588236,1.00537336826996,0.7768794209358781
spechmmer,cl_256_L2_assoc_16,1.2941176470588236,1.0068253629231843,0.7780014168042787
specbzip,cl_128_L1i_assoc_4,1.2941176470588236,1.0079077236221192,0.7788377864352739
specbzip,cl_256_L2_assoc_16,1.2941176470588236,1.0103717017723688,0.7807417695513759
specbzip,cl_256_L1d_128kB,1.3235294117647058,1.0339514532507315,0.7812077646783304
specmcf,cl_256_L1i_assoc_4,1.411764705882353,1.108580932436976,0.7852448271428579
specbzip,L1d_128kB_L1i_64kB,1.2941176470588236,1.0177303761297345,0.7864280179184312
specbzip,cl_128_L1d_assoc_4,1.2941176470588236,1.0180727382710857,0.7866925704822025
speclibm,L1d_128kB_L1i_64kB_L2_1MB,1.2647058823529411,0.9964229442696942,0.7878693047713862
specbzip,L1d_128kB_L1i_64kB_L2_1MB,1.2647058823529411,0.9989265249441704,0.7898488801884139
specsjeng,L1d_128kB_L1i_64kB_L2_1MB,1.2647058823529411,0.9997615108492122,0.7905091016017026
spechmmer,L1d_128kB_L1i_64kB_L2_1MB,1.2647058823529411,1.001752345807483,0.7920832501733588
specmcf,cl_256_L1i_16kB,1.1029411764705883,0.8753224946820805,0.7936257285117528
specbzip,L1i_assoc_4,1.2352941176470589,0.9998904653674113,0.8094351386307616
specsjeng,L1i_assoc_4,1.2352941176470589,0.9999903608855252,0.8095160064311394
speclibm,L1d_assoc_4,1.2352941176470589,1.0,0.8095238095238095
specsjeng,L1d_assoc_4,1.2352941176470589,1.0000033104458197,0.8095264894085207
speclibm,L1i_assoc_4,1.2352941176470589,1.0000349240673485,0.8095520813878535
