Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16	0.175298	3.505956	0.060972	0.000088	0.999967
speclibm/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4	0.175298	3.505956	0.060972	0.000088	0.999968
speclibm/L1d_128kB_L1i_64kB_L2_4MB	0.174479	3.489571	0.060972	0.000088	0.999967
speclibm/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16	0.174479	3.489571	0.060972	0.000088	0.999967
speclibm/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4	0.174479	3.489571	0.060972	0.000088	0.999968
speclibm/L1d_32kB	0.174691	3.493825	0.060972	0.000094	0.999942
speclibm/L1d_assoc_1	0.175516	3.510325	0.061561	0.000094	0.986457
speclibm/L1d_assoc_4	0.174671	3.493415	0.060972	0.000094	0.999945
speclibm/L1d_assoc_8	0.174671	3.493415	0.060972	0.000094	0.999945
speclibm/L1i_16kB	0.174653	3.493050	0.060966	0.000113	0.999866
speclibm/L1i_64kB	0.174670	3.493408	0.060971	0.000088	0.999967
speclibm/L1i_assoc_1	0.174648	3.492952	0.060972	0.000122	0.999830
speclibm/L1i_assoc_4	0.174665	3.493293	0.060972	0.000087	0.999973
speclibm/L1i_assoc_8	0.174665	3.493293	0.060972	0.000085	0.999978
speclibm/L2_1MB	0.174772	3.495444	0.060972	0.000094	0.999944
speclibm/L2_4MB	0.174482	3.489639	0.060972	0.000094	0.999944
speclibm/L2_assoc_16	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm/L2_assoc_2	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm/L2_assoc_32	0.174690	3.493799	0.060971	0.000094	0.999944
speclibm/L2_assoc_4	0.174671	3.493414	0.060972	0.000094	0.999944
speclibm/L2_assoc_64	0.174671	3.493415	0.060972	0.000094	0.999944
specmcf/1GHz	0.127942	1.279422	0.002108	0.023627	0.055046
specmcf/3GHz	0.043867	1.317329	0.002108	0.023609	0.055046
specmcf/Cacheline_128	0.066527	1.330534	0.001384	0.035212	0.020416
specmcf/Cacheline_16	0.071726	1.434514	0.004613	0.014546	0.208407
specmcf/Cacheline_256	0.064922	1.298444	0.001172	0.032583	0.011487
specmcf/Cacheline_32	0.063004	1.260085	0.003208	0.013171	0.159189
specmcf/default	0.064955	1.299095	0.002108	0.023612	0.055046
specmcf/L1d_128kB	0.064926	1.298527	0.001932	0.023611	0.055391
specmcf/L1d_128kB_L1i_64kB	0.057759	1.155171	0.001932	0.000018	0.776058
specmcf/L1d_128kB_L1i_64kB_L2_1MB	0.057987	1.159743	0.001932	0.000018	0.837071
