Config,sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,default_cpi,speedup,L1d,L1i,L2,cacheline,L1d_assoc,L1i_assoc,L2_assoc,Unnamed: 0,processor_peak_power,core_area,core_subthreshold_leakage,core_gate_leakage,core_runtime_dynamic,L2_area,L2_subthreshold_leakage,L2_gate_leakage,L2_runtime_dynamic,total_power,total_area,EDAP
L2_assoc_2,0.179,3.588,0.040,0.005,0.485,3.586,0.999,64.000,32.000,2.000,64.000,2.000,2.000,2.000,173.600,3.865,7.225,1.098,0.007,0.247,7.691,0.005,0.001,0.012,0.259,14.916,13.843
L2_assoc_32,0.179,3.585,0.040,0.005,0.483,3.586,1.000,64.000,32.000,2.000,64.000,2.000,2.000,32.000,174.600,3.872,7.225,1.098,0.007,0.247,7.726,0.005,0.001,0.012,0.259,14.951,13.909
L2_assoc_4,0.179,3.586,0.040,0.005,0.483,3.586,1.000,64.000,32.000,2.000,64.000,2.000,2.000,4.000,175.600,3.865,7.225,1.098,0.007,0.247,7.686,0.005,0.001,0.012,0.259,14.911,13.852
L2_assoc_64,0.179,3.585,0.040,0.005,0.483,3.586,1.000,64.000,32.000,2.000,64.000,2.000,2.000,64.000,176.600,3.890,7.225,1.098,0.007,0.247,7.724,0.006,0.001,0.014,0.261,14.949,13.985
cl_128_L1d_128kB,0.135,2.705,0.021,0.007,0.480,3.586,1.175,128.000,32.000,2.000,128.000,2.000,2.000,8.000,124.400,10.201,13.522,1.318,0.008,0.734,38.433,0.016,0.004,0.051,0.786,51.956,110.401
cl_128_L1d_32kB,0.136,2.719,0.023,0.007,0.441,3.586,1.166,32.000,32.000,2.000,128.000,2.000,2.000,8.000,125.400,8.668,9.699,1.083,0.007,0.266,38.433,0.016,0.004,0.061,0.327,48.132,42.771
cl_128_L1d_assoc_1,0.137,2.738,0.023,0.007,0.418,3.586,1.157,64.000,32.000,2.000,128.000,1.000,2.000,8.000,126.400,9.122,11.070,1.172,0.007,0.390,38.433,0.016,0.004,0.064,0.454,49.504,61.576
cl_128_L1d_assoc_4,0.135,2.708,0.021,0.007,0.458,3.586,1.173,64.000,32.000,2.000,128.000,4.000,2.000,8.000,127.400,9.274,10.991,1.183,0.007,0.447,38.433,0.016,0.004,0.054,0.501,49.424,67.128
cl_128_L1i_16kB,0.137,2.733,0.022,0.011,0.450,3.586,1.156,64.000,16.000,2.000,128.000,2.000,2.000,8.000,128.400,9.241,10.932,1.178,0.007,0.425,38.433,0.016,0.004,0.065,0.489,49.365,65.978
cl_128_L1i_64kB,0.134,2.671,0.022,0.000,0.557,3.586,1.206,64.000,64.000,2.000,128.000,2.000,2.000,8.000,129.400,9.913,12.260,1.284,0.008,0.443,38.433,0.016,0.004,0.035,0.477,50.693,64.640
cl_128_L1i_assoc_1,0.137,2.731,0.022,0.015,0.439,3.586,1.156,64.000,32.000,2.000,128.000,2.000,1.000,8.000,130.400,8.612,9.804,1.059,0.006,0.422,38.433,0.016,0.004,0.070,0.492,48.237,64.757
cl_128_L1i_assoc_4,0.134,2.671,0.022,0.000,0.555,3.586,1.206,64.000,32.000,2.000,128.000,2.000,4.000,8.000,131.400,9.937,12.329,1.270,0.008,0.443,38.433,0.016,0.004,0.035,0.477,50.762,64.737
cl_128_L2_1MB,0.136,2.719,0.022,0.007,0.460,3.586,1.167,64.000,32.000,1.000,128.000,2.000,2.000,8.000,132.400,8.796,11.040,1.183,0.007,0.428,18.441,0.010,0.002,0.043,0.471,29.481,37.758
cl_128_L2_4MB,0.135,2.707,0.022,0.007,0.449,3.586,1.174,64.000,32.000,4.000,128.000,2.000,2.000,8.000,133.400,8.561,11.040,1.183,0.007,0.431,17.237,0.012,0.002,0.036,0.467,28.277,35.717
cl_128_L2_assoc_16,0.136,2.712,0.022,0.007,0.453,3.586,1.171,64.000,32.000,2.000,128.000,2.000,2.000,16.000,134.400,8.307,11.040,1.183,0.007,0.430,9.558,0.006,0.001,0.028,0.458,20.598,25.565
cl_128_L2_assoc_4,0.136,2.712,0.022,0.007,0.453,3.586,1.171,64.000,32.000,2.000,128.000,2.000,2.000,4.000,135.400,9.225,11.040,1.183,0.007,0.430,38.502,0.016,0.004,0.056,0.486,49.542,65.275
cl_256_L1d_128kB,0.113,2.253,0.012,0.007,0.452,3.586,1.357,128.000,32.000,2.000,256.000,2.000,2.000,8.000,136.400,28.913,31.575,2.628,0.017,1.457,63.515,0.034,0.008,0.115,1.573,95.091,336.983
cl_256_L1d_32kB,0.114,2.270,0.014,0.007,0.426,3.586,1.346,32.000,32.000,2.000,256.000,2.000,2.000,8.000,137.400,27.183,26.748,2.380,0.015,0.877,63.515,0.034,0.008,0.145,1.022,90.263,209.411
cl_256_L1d_assoc_1,0.115,2.308,0.015,0.007,0.357,3.586,1.322,64.000,32.000,2.000,256.000,1.000,2.000,8.000,138.400,27.109,26.937,2.387,0.015,0.831,63.515,0.034,0.008,0.162,0.993,90.452,207.348
cl_256_L1d_assoc_4,0.113,2.258,0.012,0.007,0.439,3.586,1.354,64.000,32.000,2.000,256.000,4.000,2.000,8.000,139.400,29.336,32.433,2.645,0.017,1.617,63.515,0.034,0.008,0.125,1.742,95.948,377.290
cl_256_L1i_16kB,0.115,2.299,0.013,0.013,0.432,3.586,1.326,64.000,16.000,2.000,256.000,2.000,2.000,8.000,140.400,27.398,27.113,2.399,0.015,0.875,63.515,0.034,0.008,0.164,1.039,90.628,216.491
cl_256_L1i_64kB,0.111,2.224,0.013,0.000,0.494,3.586,1.385,64.000,64.000,2.000,256.000,2.000,2.000,8.000,141.400,27.134,26.985,2.394,0.015,0.905,63.515,0.034,0.008,0.084,0.989,90.501,199.084
cl_256_L1i_assoc_1,0.114,2.286,0.013,0.014,0.424,3.586,1.332,64.000,32.000,2.000,256.000,2.000,1.000,8.000,142.400,25.795,24.335,2.215,0.014,0.873,63.515,0.034,0.008,0.159,1.031,87.850,207.146
cl_256_L1i_assoc_4,0.112,2.236,0.013,0.002,0.440,3.586,1.373,64.000,32.000,2.000,256.000,2.000,4.000,8.000,143.400,30.135,32.526,2.669,0.017,0.901,63.515,0.034,0.008,0.103,1.004,96.041,215.528
cl_256_L2_1MB,0.113,2.267,0.013,0.007,0.441,3.586,1.348,64.000,32.000,1.000,256.000,2.000,2.000,8.000,144.400,26.475,26.872,2.387,0.015,0.885,41.012,0.025,0.006,0.110,0.995,67.884,153.179
cl_256_L2_4MB,0.113,2.258,0.013,0.007,0.433,3.586,1.354,64.000,32.000,4.000,256.000,2.000,2.000,8.000,145.400,27.882,26.872,2.387,0.015,0.890,83.766,0.043,0.009,0.151,1.041,110.639,260.134
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,0.110,2.209,0.011,0.000,0.560,3.586,1.395,128.000,64.000,4.000,256.000,4.000,16.000,16.000,146.400,48.723,69.374,4.209,0.026,1.682,83.680,0.043,0.009,0.075,1.757,153.054,594.136
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,0.110,2.209,0.011,0.000,0.559,3.586,1.395,128.000,64.000,4.000,256.000,4.000,4.000,16.000,147.400,32.644,37.140,2.928,0.019,1.682,83.680,0.043,0.009,0.075,1.757,120.820,468.998
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,0.110,2.209,0.011,0.000,0.559,3.586,1.395,128.000,64.000,4.000,256.000,4.000,8.000,16.000,148.400,37.186,46.134,3.318,0.021,1.682,83.680,0.043,0.009,0.075,1.757,129.813,503.906
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,0.110,2.207,0.011,0.000,0.574,3.586,1.396,128.000,64.000,4.000,256.000,8.000,8.000,16.000,149.400,41.229,56.906,3.713,0.024,3.163,83.680,0.043,0.009,0.072,3.235,140.586,1004.063
cl_256_L2_assoc_16,0.113,2.261,0.013,0.007,0.435,3.586,1.351,64.000,32.000,2.000,256.000,2.000,2.000,16.000,150.400,27.223,26.872,2.387,0.015,0.888,63.476,0.034,0.008,0.131,1.020,90.348,208.322
cl_256_L2_assoc_4,0.113,2.261,0.013,0.007,0.435,3.586,1.352,64.000,32.000,2.000,256.000,2.000,2.000,4.000,151.400,27.202,26.872,2.387,0.015,0.888,63.554,0.034,0.008,0.130,1.019,90.427,208.261
default,0.179,3.586,0.040,0.005,0.483,3.586,1.000,64.000,32.000,2.000,64.000,2.000,2.000,8.000,152.600,3.866,7.225,1.098,0.007,0.247,7.004,0.005,0.001,0.012,0.259,14.229,13.221
